V1	V2	V3	max_K	INDV
1.00E-05	1.00E-05	0.99998	V3	CAS178
1.00E-05	0.870958	0.129032	V2	CAS265A
1.00E-05	0.056026	0.943964	V3	CAS276
1.00E-05	0.008763	0.991227	V3	CAS277
1.00E-05	0.162179	0.837811	V3	CAS298
1.00E-05	0.039741	0.960249	V3	CAS299
1.00E-05	0.99998	1.00E-05	V2	F10526
0.024415	0.342692	0.632893	V3	F10600
0.025603	0.380741	0.593656	V3	F10601
1.00E-05	0.067855	0.932135	V3	F10616
1.00E-05	0.165526	0.834464	V3	F10797
1.00E-05	0.094964	0.905026	V3	F10985
1.00E-05	0.024488	0.975502	V3	F10986
1.00E-05	0.089448	0.910542	V3	F10995
1.00E-05	0.471237	0.528753	V3	F11004
1.00E-05	0.454696	0.545294	V3	F11011
1.00E-05	0.483224	0.516766	V3	F11072
1.00E-05	0.095764	0.904226	V3	F11086
1.00E-05	0.99998	1.00E-05	V2	F11271
1.00E-05	0.99998	1.00E-05	V2	F11333
1.00E-05	0.99998	1.00E-05	V2	F11338
1.50E-05	0.999975	1.00E-05	V2	F11400
1.00E-05	1.00E-05	0.99998	V3	F11512
1.00E-05	0.99998	1.00E-05	V2	F11518
1.00E-05	0.054298	0.945692	V3	F12268
1.00E-05	0.957397	0.042593	V2	F12299
1.00E-05	0.075999	0.923991	V3	F12492
1.00E-05	0.09228	0.90771	V3	F12501
1.00E-05	0.99998	1.00E-05	V2	F12655
1.00E-05	0.030202	0.969788	V3	F12786
1.00E-05	0.363806	0.636184	V3	F12850
1.00E-05	0.99998	1.00E-05	V2	F12867
1.00E-05	0.99998	1.00E-05	V2	F12873
1.00E-05	0.99998	1.00E-05	V2	F12878
1.00E-05	0.99998	1.00E-05	V2	F12902
1.00E-05	1.00E-05	0.99998	V3	F12910
1.00E-05	0.402093	0.597897	V3	F13122
1.00E-05	0.379621	0.620369	V3	F13514
1.00E-05	0.99998	1.00E-05	V2	F13668
1.00E-05	0.99998	1.00E-05	V2	F13946
1.00E-05	0.99998	1.00E-05	V2	F14000
1.00E-05	0.014248	0.985742	V3	F14488
1.00E-05	0.04582	0.95417	V3	F14976
1.00E-05	0.99998	1.00E-05	V2	F14992
1.00E-05	0.096343	0.903647	V3	F15236
1.00E-05	0.99998	1.00E-05	V2	F15710
1.00E-05	0.99998	1.00E-05	V2	F15711
1.00E-05	0.102571	0.897419	V3	F16397
1.00E-05	0.99998	1.00E-05	V2	F16447
1.00E-05	0.99998	1.00E-05	V2	F16634
1.00E-05	0.99998	1.00E-05	V2	F16635
1.00E-05	0.297133	0.702857	V3	F7627
1.00E-05	0.99998	1.00E-05	V2	F7910
1.00E-05	1.00E-05	0.99998	V3	F7931
0.121723	1.00E-05	0.878267	V3	F7991
1.00E-05	0.99998	1.00E-05	V2	F8275
1.00E-05	0.02935	0.97064	V3	F8310
1.00E-05	1.00E-05	0.99998	V3	F8333
1.00E-05	1.00E-05	0.99998	V3	F8348
1.00E-05	1.00E-05	0.99998	V3	F8351
1.00E-05	0.914919	0.085071	V2	F8447
1.10E-05	0.999979	1.00E-05	V2	F8496
1.00E-05	0.99998	1.00E-05	V2	F8549
1.00E-05	0.505716	0.494274	V2	F8838
1.00E-05	0.471153	0.528837	V3	F8870
1.00E-05	0.052701	0.947289	V3	F9397
1.00E-05	0.99998	1.00E-05	V2	F9636
1.00E-05	0.99998	1.00E-05	V2	F9637
1.00E-05	0.99998	1.00E-05	V2	F9650
1.00E-05	0.080693	0.919297	V3	F9699
1.00E-05	1.00E-05	0.99998	V3	JRO197
1.00E-05	1.00E-05	0.99998	V3	JRO198
1.00E-05	1.00E-05	0.99998	V3	TF08619
1.00E-05	0.113311	0.886679	V3	TF08620
1.00E-05	0.095555	0.904435	V3	TF08621
1.00E-05	0.133535	0.866455	V3	TF08622
1.00E-05	1.00E-05	0.99998	V3	TF08625
1.00E-05	1.00E-05	0.99998	V3	TF08626
1.00E-05	1.00E-05	0.99998	V3	TF08627
1.00E-05	1.00E-05	0.99998	V3	TF08628
1.00E-05	1.00E-05	0.99998	V3	TF08629
1.00E-05	1.00E-05	0.99998	V3	TF08630
1.00E-05	0.10024	0.89975	V3	TF08631
1.20E-05	1.00E-05	0.999978	V3	TF08632
1.00E-05	1.00E-05	0.99998	V3	TF08633
0.99998	1.00E-05	1.00E-05	V1	alt16w2m
0.999978	1.20E-05	1.00E-05	V1	alt16wlm
0.99998	1.00E-05	1.00E-05	V1	alt17w2f
0.604064	0.395926	1.00E-05	V1	alt17w4f
0.999971	1.90E-05	1.00E-05	V1	alt95w2f
