SampleID,Subspecies,Country,State,County,SamplePeriod,Decade,Year,Habitat,Clade,Latitude,Longitude,bio2,bio5,bio7,bio12,bio13,bio15
182308,nevadensis,USA,California,Lassen,Modern,2000s,2006,Fresh,Nominate,40.68532,-120.79166,170,288,376,469,68,50
182309,nevadensis,USA,California,Lassen,Modern,2000s,2006,Fresh,Nominate,40.67609,-120.78617,170,288,376,469,68,50
CUMV53072,savana,USA,NewYork,Tompkins,Modern,2000s,2009,Fresh,Nominate,42.458576,-76.38484,110,264,363,946,101,18
CUMV53399,savana,USA,NewYork,Tompkins,Modern,2000s,2009,Fresh,Nominate,42.454704,-76.361515,109,258,363,980,104,17
CUMV53435,savana,USA,NewYork,Tompkins,Modern,2000s,2009,Fresh,Nominate,42.454704,-76.361515,109,258,363,980,104,17
GIWA1,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.134,-121.956,130,300,268,440,102,90
GIWA2,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.134,-121.956,130,300,268,440,102,90
GIWA3,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.134,-121.956,130,300,268,440,102,90
GIWA4,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.121,-121.937,129,298,266,431,99,90
GIWA5,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.121,-121.937,129,298,266,431,99,90
GIWA6,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.111,-121.938,129,298,266,431,99,90
GIWA7,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.111,-121.938,129,298,266,431,99,90
GIWA8,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.111,-121.938,129,298,266,431,99,90
JR11044,oblitus,Canada,Ontario,Moosoonee,Modern,1990s,unknown,Fresh,Nominate,51.273034,-80.640206,120,224,487,709,97,37
JR11052,oblitus,Canada,Ontario,Moosoonee,Modern,1990s,unknown,Fresh,Nominate,51.273034,-80.640206,120,224,487,709,97,37
JR11053,oblitus,Canada,Ontario,Moosoonee,Modern,1990s,unknown,Fresh,Nominate,51.273034,-80.640206,120,224,487,709,97,37
MSB23807,nevadensis,USA,NewMexico,RioArriba,Modern,2000s,2003,Fresh,Nominate,36.9115957,-106.3743122,155,197,359,773,97,25
MSB40571,anthinus,USA,Alaska,Fairbanks,Modern,2010s,2013,Fresh,Nominate,63.19058333,-147.7245167,109,165,424,331,70,70
MSB40572,anthinus,USA,Alaska,Fairbanks,Modern,2010s,2013,Fresh,Nominate,63.0819,-146.08255,121,192,473,256,60,83
MSB40573,anthinus,USA,Alaska,Nome,Modern,2010s,2013,Fresh,Nominate,65.26073333,-164.7849833,74,135,351,375,80,63
PMB_1934,savana,USA,Illinois,Stephenson,Modern,2010s,2015,Fresh,Nominate,42.221551,-89.915621,118,285,415,897,108,36
PMB_1935,savana,USA,Illinois,Stephenson,Modern,2010s,2015,Fresh,Nominate,42.221551,-89.915621,118,285,415,897,108,36
PMB_1938,savana,USA,Illinois,Stephenson,Modern,2010s,2015,Fresh,Nominate,42.221551,-89.915621,118,285,415,897,108,36
PMB_1941,nevadensis,USA,Wyoming,Teton,Modern,2010s,2016,Fresh,Nominate,43.7478,-110.1178,147,190,371,584,59,13
PMB1899,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.147,-122.345,128,270,232,677,154,92
PMB1900,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.147,-122.345,128,270,232,677,154,92
PMB1901,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.147,-122.345,128,270,232,677,154,92
PMB1902,alaudinus,USA,California,Solano,Modern,2010s,2015,Salt,Nominate,38.147,-122.345,128,270,232,677,154,92
PMB1903,alaudinus,USA,California,SantaClara,Modern,2010s,2015,Salt,Nominate,37.434,-122.017,108,254,204,353,73,85
PMB1904,alaudinus,USA,California,SantaClara,Modern,2010s,2015,Salt,Nominate,37.434,-122.017,108,254,204,353,73,85
PMB1905,alaudinus,USA,California,SantaClara,Modern,2010s,2015,Salt,Nominate,37.434,-122.017,108,254,204,353,73,85
