Desc	Family ID	Mus_musculus	Cavia_porcellus	Dipodomys_ordii	Heterocephalus_glaber	Octodon_degus	Chinchilla_lanigera	Microtus_ochrogaster	Nannospalax_galili	Marmota_marmota	Castor_canadensis	Meriones_unguiculatus	Urocitellus_parryii	Cricetulus_griseus	Marmota_flaviventris	Peromyscus_maniculatus	Peromyscus_leucopus	Grammomys_surdaster	Mastomys_coucha	Rattus_rattus	Arvicanthis_niloticus	Fukomys_damarensis	Microtus_fortis	Rattus_norvegicus	Ictidomys_tridecemlineatus	Mesocricetus_auratus	Microtus_oregoni	Dipodomys_spectabilis	Jaculus_jaculus	Marmota_monax	Perognathus_longimembris	Mus_caroli	Mus_pahari	Neosciurus_carolinensis	Myodes_glareolus	Arvicola_amphibius	Onychomys_torridus	MGP_CASTEiJ	Mus_spicilegus	MGP_SPRETEiJ	Oryctolagus_cuniculus	Sciurus_vulgaris	Spermophilus_dauricus
(null)	1	0	0	0	0	18	30	10	43	26	34	19	50	12	44	6	13	20	25	15	21	17	15	10	33	14	17	19	48	39	19	14	14	42	8	30	11	26	20	28	80	35	33	
(null)	2	16	7	10	23	13	13	21	9	29	16	6	19	17	27	15	17	25	17	23	22	62	22	27	24	16	23	8	0	27	4	19	21	64	14	21	15	12	18	16	3	0	0	
(null)	3	22	42	7	20	7	5	9	59	19	9	8	13	38	21	11	29	7	7	16	34	11	11	13	18	30	37	29	18	28	30	10	4	33	26	16	33	0	0	0	21	0	0	
(null)	4	17	23	14	28	18	16	11	26	29	11	10	25	18	27	13	11	15	15	16	20	24	14	15	30	11	12	13	7	32	15	20	23	37	16	16	12	12	14	11	11	0	1	
(null)	5	1	27	85	12	64	34	2	0	4	0	11	4	12	3	26	20	6	4	9	16	15	3	15	2	29	11	103	2	3	75	6	8	11	3	4	26	1	4	1	31	0	0	
(null)	6	30	22	14	13	13	18	10	11	15	10	24	22	8	19	17	19	14	26	14	17	8	10	15	21	19	11	14	8	22	10	17	12	19	20	15	12	37	20	26	13	13	7	
(null)	7	21	18	15	14	18	13	13	14	14	7	19	10	9	8	18	19	22	6	17	14	15	14	23	17	16	26	15	14	18	15	16	17	15	24	25	22	20	18	15	31	13	5	
(null)	8	22	18	16	8	21	13	18	17	14	13	22	13	4	10	11	11	11	11	16	15	13	14	15	5	15	12	18	15	13	17	20	19	14	18	15	21	33	22	33	16	16	11	
(null)	9	21	14	10	11	12	12	16	9	21	12	19	7	12	8	27	18	17	13	16	15	4	19	16	12	16	18	17	7	22	22	25	19	9	21	16	17	25	26	16	19	10	7	
(null)	10	17	18	1	7	6	7	31	21	4	20	11	5	21	2	17	40	25	16	24	22	5	30	29	6	24	28	3	5	8	13	18	19	5	37	30	18	14	17	14	11	0	0	
(null)	11	29	17	19	4	12	13	10	10	8	17	8	13	12	21	18	11	13	18	10	13	7	20	13	10	16	13	19	15	18	18	19	15	12	21	12	11	33	20	25	12	19	17	
(null)	12	23	13	18	2	9	14	18	14	15	20	25	13	8	11	13	11	15	6	16	11	14	13	16	14	8	17	17	12	17	13	11	11	11	15	13	13	32	28	32	13	20	21	
(null)	13	19	15	10	29	18	9	20	14	27	14	12	10	14	14	20	17	13	17	9	11	17	20	15	19	18	11	11	19	24	15	16	14	14	15	20	12	17	9	14	13	5	4	
(null)	14	22	14	15	8	10	9	14	7	18	16	14	16	10	18	11	19	19	15	17	19	6	12	18	13	15	35	16	16	14	11	20	18	18	10	18	14	19	21	19	14	5	7	
(null)	15	17	13	14	9	15	12	13	12	6	19	17	14	6	12	9	15	13	11	17	12	6	8	18	8	8	10	13	6	9	11	7	12	11	12	12	11	43	49	43	14	35	24	
(null)	16	5	21	7	40	10	15	9	15	41	48	1	12	10	35	5	5	2	4	7	5	80	7	10	32	4	6	4	0	52	1	5	4	63	9	4	2	3	6	5	29	0	0	
(null)	17	20	14	13	25	16	15	17	14	13	15	12	11	8	11	28	20	28	16	13	17	13	17	17	13	17	22	12	17	12	24	15	11	17	17	18	16	7	3	0	17	1	2	
(null)	18	13	11	17	12	20	12	11	14	19	11	12	18	13	18	14	12	12	16	13	11	9	13	15	14	14	17	17	15	19	20	11	12	18	14	12	11	22	19	19	13	16	10	
(null)	19	0	0	0	0	3	6	10	10	4	13	17	11	23	22	20	24	21	14	16	42	8	13	15	18	13	71	2	3	32	8	25	13	26	15	20	19	19	8	14	4	2	1	
(null)	20	12	7	27	6	11	12	13	14	21	19	15	15	13	19	12	12	7	8	15	17	10	9	17	25	14	15	30	18	22	29	13	12	31	9	10	9	10	12	10	17	2	3	
(null)	21	18	6	15	9	12	17	15	14	11	13	17	16	13	16	19	16	17	15	13	21	15	11	14	13	23	15	14	18	13	12	20	14	15	12	16	17	7	12	8	26	4	3	
(null)	22	32	7	12	2	5	8	18	19	7	6	18	12	16	8	32	16	19	15	16	14	10	21	36	26	33	14	3	7	9	5	17	17	2	18	16	22	17	20	8	7	2	2	
(null)	23	17	16	14	15	17	17	13	16	13	15	13	12	7	13	15	14	13	13	14	14	13	14	15	16	14	12	13	10	15	13	12	17	17	14	12	15	15	15	14	14	17	15	
(null)	24	17	17	16	20	15	11	13	19	15	17	3	12	15	14	17	19	11	12	14	19	14	16	15	16	18	17	16	20	21	18	7	11	20	17	18	20	4	5	2	14	5	3	
(null)	25	14	11	15	10	10	11	20	21	6	5	13	12	10	15	23	25	48	12	13	15	6	18	19	11	21	20	12	6	4	5	15	17	3	16	19	10	18	17	15	18	6	4	
(null)	26	17	4	7	5	3	3	32	10	5	7	4	3	22	2	25	13	20	24	34	26	7	32	31	8	15	34	7	2	8	5	28	20	6	21	29	18	15	16	12	8	0	0	
(null)	27	11	15	8	12	15	11	13	11	22	11	11	18	16	23	11	13	15	13	16	13	12	11	20	17	15	11	10	8	55	4	10	13	19	13	12	14	14	8	15	11	4	4	
